school,minority,sex,ses,mathach,meanses,size,sector
1224,No,Female,-1.528,5.876,-0.428,842,Public
1224,No,Female,-0.588,19.708,-0.428,842,Public
1224,No,Male,-0.528,20.349,-0.428,842,Public
1224,No,Male,-0.668,8.781,-0.428,842,Public
1224,No,Male,-0.158,17.898,-0.428,842,Public
1224,No,Male,0.022,4.583,-0.428,842,Public
1224,No,Female,-0.618,-2.832,-0.428,842,Public
1224,No,Male,-0.998,0.523,-0.428,842,Public
1224,No,Female,-0.888,1.527,-0.428,842,Public
1224,No,Male,-0.458,21.521,-0.428,842,Public
1224,No,Female,-1.448,9.475,-0.428,842,Public
1224,No,Female,-0.658,16.057,-0.428,842,Public
1224,No,Male,-0.468,21.178,-0.428,842,Public
1224,No,Female,-0.988,20.178,-0.428,842,Public
1224,No,Male,0.332,20.349,-0.428,842,Public
1224,No,Female,-0.678,20.508,-0.428,842,Public
1224,No,Male,-0.298,19.338,-0.428,842,Public
1224,Yes,Male,-1.528,4.145,-0.428,842,Public
1224,No,Female,0.042,2.927,-0.428,842,Public
1224,No,Male,-0.078,16.405,-0.428,842,Public
1224,No,Female,0.062,13.653,-0.428,842,Public
1224,No,Female,-0.128,6.558,-0.428,842,Public
1224,No,Female,0.472,9.653,-0.428,842,Public
1224,No,Male,-0.468,3.154,-0.428,842,Public
1224,Yes,Female,-1.248,4.753,-0.428,842,Public
1224,No,Male,-0.628,21.721,-0.428,842,Public
1224,No,Female,0.832,5.166,-0.428,842,Public
1224,No,Female,-0.568,6.399,-0.428,842,Public
1224,No,Female,-0.258,6.821,-0.428,842,Public
1224,No,Female,-0.138,9.255,-0.428,842,Public
1224,No,Female,-0.478,3.745,-0.428,842,Public
1224,No,Female,-0.948,0.858,-0.428,842,Public
1224,No,Female,0.282,11.542,-0.428,842,Public
1224,No,Female,-0.118,13.255,-0.428,842,Public
1224,No,Male,-0.878,10.557,-0.428,842,Public
1224,No,Male,-0.938,0.868,-0.428,842,Public
1224,No,Male,-0.548,8.296,-0.428,842,Public
1224,Yes,Male,0.142,-1.688,-0.428,842,Public
1224,No,Female,0.972,2.059,-0.428,842,Public
1224,No,Male,0.372,6.714,-0.428,842,Public
1224,Yes,Male,-1.658,0.122,-0.428,842,Public
1224,No,Female,-1.068,2.381,-0.428,842,Public
1224,No,Female,-0.248,16.336,-0.428,842,Public
1224,No,Female,-1.398,6.134,-0.428,842,Public
1224,No,Female,0.752,23.584,-0.428,842,Public
